model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",7,0.6360333333333333,0.7845666666666666,81.07,0.1485333333333333,0.1503,26.736308701189603,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",7,0.6265333333333333,0.7845666666666666,79.86,0.15803333333333336,0.1595000000000001,26.736308701189603,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",8,0.6214333333333334,0.7845666666666666,79.21,0.1631333333333333,0.1638999999999999,30.55578137278812,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21)]",8,0.6073666666666667,0.7845666666666666,77.41,0.17719999999999994,0.1777999999999999,30.55578137278812,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",8,0.5963333333333334,0.7845666666666666,76.01,0.18823333333333328,0.1892,30.55578137278812,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",9,0.5896,0.7845666666666666,75.15,0.19496666666666665,0.1977999999999999,34.37525404438664,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(6, 7), (8, 9)]",2,0.8493589743589745,0.8327991452991452,101.99,-0.016559829059829067,-0.0032051282051283,7.6389453431970304,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",7,0.8488247863247863,0.8327991452991452,101.92,-0.016025641025641035,-0.0048076923076922,26.736308701189603,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",6,0.8477564102564102,0.8327991452991452,101.8,-0.014957264957264899,-0.0096153846153845,22.91683602959109,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",5,0.8477564102564102,0.8327991452991452,101.8,-0.014957264957264899,-0.0080128205128205,19.09736335799257,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20)]",6,0.8461538461538461,0.8327991452991452,101.6,-0.0133547008547008,-0.0032051282051281,22.91683602959109,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(7, 8), (9, 10), (11, 12), (13, 14), (15, 16), (17, 18), (19, 20), (21, 22)]",8,0.844017094017094,0.8327991452991452,101.35,-0.011217948717948734,0.001602564102564,30.55578137278812,identity,identity
vit-large-patch16-224,pneumoniamnist,"[(11, 12), (13, 14), (15, 16), (17, 18)]",4,0.843482905982906,0.8327991452991452,101.28,-0.0106837606837607,0.0,15.27789068639406,identity,identity
