"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"imagenet-1k","facebook/deit-base-patch16-224","[]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(0, 1)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(0, 2)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(0, 3)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(0, 4)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(1, 2)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(1, 3)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(1, 4)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(2, 3)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(2, 4)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(3, 4)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(6, 7)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(6, 8)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(6, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(6, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(6, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(7, 8)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(7, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(7, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(7, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(8, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(8, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(8, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(9, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(9, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/deit-base-patch16-224","[(10, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/dinov2-base","[]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/dinov2-base","[(8, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/dinov2-base","[(8, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","facebook/dinov2-base","[(9, 10)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[]","[]","[]","{}","identity","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 7)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 8)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 9)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 10)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 11)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 12)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 13)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 14)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 15)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 16)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 17)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 18)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 19)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 20)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 21)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 22)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(6, 23)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 8)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 9)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 10)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 11)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 12)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 13)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 14)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 15)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 16)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 17)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 18)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 19)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 20)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 21)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 22)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(7, 23)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(8, 9)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(8, 10)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(8, 11)]","[]","[]","{}","linear","identity","identity",""
"pneumoniamnist","google/vit-large-patch16-224","[(8, 12)]","[]","[]","{}","linear","identity","identity",""
